,bulan,data,rata2
63,bulan_64,55891.68038944001,30.37591325513044
64,bulan_65,55401.78835486,30.109667584163045
65,bulan_66,55081.33127408,29.935506127217394
66,bulan_67,54139.05232053,29.423398000288042
67,bulan_68,55210.92649828,30.00593831428261
68,bulan_69,56690.18353454,30.809882355728263
69,bulan_70,57002.95321471999,30.979865877565214
70,bulan_71,53677.430332029995,29.172516484798912
71,bulan_72,53233.18476876,28.931078678673913
72,bulan_73,54210.20950123,29.46207038110326
73,bulan_74,53041.716253139995,28.827019702793475
74,bulan_75,53950.381835880005,29.320859693413045
75,bulan_76,55268.592460730004,30.037278511266308
76,bulan_77,55007.49371522,29.895377019141304
77,bulan_78,54626.16992575,29.688135829211955
78,bulan_79,53898.23581304,29.2925194636087
79,bulan_80,54877.27880504,29.82460804621739
80,bulan_81,56644.24573327,30.78491615938587
81,bulan_82,56801.46308139,30.870360370320654
82,bulan_83,55581.54537574,30.20736161725
83,bulan_84,54355.009304110004,29.54076592614674
84,bulan_85,53615.61183353,29.138919474744565
85,bulan_86,55644.80333707,30.24174094405978
86,bulan_87,54673.51766387,29.71386829558152
87,bulan_88,56138.08117864,30.50982672752174
88,bulan_89,54454.88371653,29.59504549811413
89,bulan_90,54578.14398756,29.662034775847825
90,bulan_91,54007.38153442,29.35183779044565
91,bulan_92,55386.74357211,30.10149107179891
92,bulan_93,56127.58082231,30.504120012125
93,bulan_94,57811.91423645,31.419518606766303
94,bulan_95,56660.85716025,30.79394410883152
95,bulan_96,53596.254728219996,29.128399308815215
96,bulan_97,53756.48477733,29.215480857244565
97,bulan_98,53840.282590639996,29.261023147086956
98,bulan_99,55288.71203801,30.048213064135872
99,bulan_100,54949.33422088,29.86376859830435
100,bulan_101,55037.422605529995,29.911642720396735
101,bulan_102,54645.68127058,29.69873982096739
102,bulan_103,54022.64896398,29.36013530651087
103,bulan_104,55304.73319629,30.056920215374998
104,bulan_105,55909.244420999996,30.38545892445652
105,bulan_106,57649.383665040004,31.33118677447826
106,bulan_107,54917.68648325,29.84656874089674
107,bulan_108,53664.69622411,29.165595773972825
108,bulan_109,55471.725276929996,30.147676780940216
109,bulan_110,54364.37183752,29.545854259521736
110,bulan_111,54884.03640926,29.82828065720652
111,bulan_112,55172.75639917,29.985193695201087
112,bulan_113,54832.39723597,29.800215889114128
113,bulan_114,54776.43463879,29.769801434125
114,bulan_115,53215.03470427,28.92121451319022
115,bulan_116,55494.985099590005,30.16031798890761
116,bulan_117,55697.84710693,30.27056907985326
117,bulan_118,56126.24857352,30.503395963869565
118,bulan_119,53954.895332169996,29.32331268052717
119,bulan_120,52758.10852806999,28.672885069603257
120,bulan_121,53809.21505358,29.24413861607609
121,bulan_122,54601.09540559,29.67450837260326
122,bulan_123,54880.5826471,29.826403612554344
123,bulan_124,55317.48532467,30.06385071992935
124,bulan_125,54521.38763241,29.631188930657608
125,bulan_126,54028.39149284,29.363256246108694
126,bulan_127,53564.14219844,29.110946846978262
127,bulan_128,54810.46025089,29.78829361461413
128,bulan_129,55943.66382023,30.40416511969022
129,bulan_130,56894.286960800004,30.920808130869567
130,bulan_131,56517.20793907,30.715873879929347
131,bulan_132,54944.80895807,29.86130921634239
132,bulan_133,53448.802477089994,29.04826221580978
133,bulan_134,53885.3570271,29.28552012342391
134,bulan_135,53321.80509765,28.97924190089674
135,bulan_136,54915.72228065001,29.8455012394837
136,bulan_137,54712.61488906,29.73511678753261
137,bulan_138,53751.31668284,29.21267211023913
138,bulan_139,53419.98690239,29.032601577385872
139,bulan_140,54897.96987339,29.835853192059783
140,bulan_141,56003.32386971,30.436589059625
141,bulan_142,57749.244579210004,31.38545901044022
142,bulan_143,57259.65588953,31.11937820083152
143,bulan_144,54391.651313619994,29.560680061749995
144,bulan_145,53373.159198609996,29.007151738374997
145,bulan_146,53564.43353835,29.11110518388587
146,bulan_147,54114.33079141,29.40996238663587
147,bulan_148,55554.93627169,30.192900147657607
148,bulan_149,54955.96236985,29.86737085317935
149,bulan_150,54194.07456182,29.45330139229348
150,bulan_151,53728.54078879,29.20029390695109
151,bulan_152,55525.036525710006,30.17665028571196
152,bulan_153,56676.219928759994,30.802293439543476
153,bulan_154,57812.120079090004,31.419630477766308
154,bulan_155,54333.72794924,29.529199972413043
155,bulan_156,53250.51459693,28.940497063548914
156,bulan_157,53722.22103321001,29.19685925717935
157,bulan_158,54000.6319141,29.348169518532607
158,bulan_159,55277.08489036,30.041893962152173
159,bulan_160,56017.49177937,30.444289010527175
160,bulan_161,55728.49591268999,30.28722603950543
161,bulan_162,55059.84514633,29.923828883875
162,bulan_163,54765.985694840005,29.76412266023913
163,bulan_164,56107.487146440006,30.493199536108698
164,bulan_165,57073.34061216,31.018119897913042
165,bulan_166,57626.81350316999,31.318920382157604
166,bulan_167,55257.53545934,30.031269271380435
167,bulan_168,53655.7866651,29.160753622336955
168,bulan_169,53395.27698521,29.019172274570654
169,bulan_170,53501.01689543,29.076639617081522
170,bulan_171,55717.442049000005,30.281218504891307
171,bulan_172,55385.69747916,30.10092254302174
172,bulan_173,55477.21967505,30.150662866875
173,bulan_174,54818.421794990005,29.792620540755436
174,bulan_175,54405.16999255,29.56802716986413
175,bulan_176,55371.96907037,30.093461451288047
176,bulan_177,56534.61868853,30.725336243766304
177,bulan_178,58496.26424998,31.79144796194565
178,bulan_179,57974.99318138,31.508148468141304
179,bulan_180,55825.887475819996,30.340156236858693
180,bulan_181,56381.08717909,30.641895206027172
181,bulan_182,56217.180506,30.552815492391304
182,bulan_183,55872.46962721,30.365472623483694
183,bulan_184,56639.2184141,30.782183920706522
184,bulan_185,55831.03136076,30.3429518265
185,bulan_186,55874.86037635,30.36677194366848
186,bulan_187,54641.152044439994,29.696278285021737
187,bulan_188,56948.443527309995,30.950241047451083
188,bulan_189,56558.11179718,30.738104237597824
189,bulan_190,56618.17228127,30.770745805038047
190,bulan_191,53557.74193195,29.107468441277174
191,bulan_192,53120.27374659,28.869713992711954
192,bulan_193,53104.65382207,28.861224903298915
193,bulan_194,54057.86847098,29.379276342923912
194,bulan_195,54175.360321169996,29.44313060933152
195,bulan_196,54833.36078448,29.80073955678261
196,bulan_197,54627.11978908,29.68865205928261
197,bulan_198,54800.42360881,29.782838917831523
198,bulan_199,53511.6943817,29.08244259875
199,bulan_200,55748.48307031,30.29808862516848
200,bulan_201,56848.654422880005,30.89600783852174
201,bulan_202,56844.139972670004,30.89355433297283
202,bulan_203,54035.189265990004,29.366950688038045
203,bulan_204,52920.729637180004,28.761266107163046
204,bulan_205,53019.735246740005,28.815073503663047
205,bulan_206,53089.27449608,28.852866573956522
206,bulan_207,53990.65182095,29.34274555486413
207,bulan_208,54565.71930890001,29.65528223309783
208,bulan_209,54390.69970874,29.560162885184784
209,bulan_210,53545.36041662,29.100739356858696
210,bulan_211,54217.52827463,29.46604797534239
211,bulan_212,55287.34268756,30.04746885193478
212,bulan_213,57197.292882940004,31.085485262467394
213,bulan_214,56796.062173930004,30.867425094527174
214,bulan_215,53534.34519971,29.094752825929348
215,bulan_216,54501.95388383,29.620627110777175
216,bulan_217,53732.55462665,29.202475340570654
217,bulan_218,54316.32510954,29.519741907358693
218,bulan_219,54494.18872081,29.616406913483697
219,bulan_220,55336.237731889996,30.074042245592388
220,bulan_221,55424.48621567999,30.12200337808695
221,bulan_222,52998.73641955,28.80366109758152
222,bulan_223,54082.10811437,29.392450062157607
223,bulan_224,55760.56234369,30.304653447657607
224,bulan_225,56701.85575879,30.81622595586413
225,bulan_226,56372.54364399,30.637251980429347
226,bulan_227,54380.70104216,29.55472882726087
227,bulan_228,53245.101877170004,28.937555368027176
228,bulan_229,53870.69271248,29.277550387217392
229,bulan_230,53872.36774459,29.278460730755437
230,bulan_231,54820.4559746,29.793726073152175
231,bulan_232,55973.858556650004,30.420575302527176
232,bulan_233,55788.51213463,30.319843551429347
233,bulan_234,54915.31236281,29.845278458048913
234,bulan_235,54182.24518802,29.44687238479348
235,bulan_236,55242.04032112,30.022848000608697
236,bulan_237,55872.06926132,30.365255033326086
237,bulan_238,58548.158659149994,31.819651445190214
238,bulan_239,56689.53618048,30.809530532869562
239,bulan_240,55157.45202077,29.976876098244563
240,bulan_241,54626.624893110005,29.688383094081523
241,bulan_242,54454.80086333,29.595000469201086
242,bulan_243,55396.80227649,30.106957758961958
243,bulan_244,56753.601083760004,30.84434841508696
244,bulan_245,55027.93959612,29.906488910934783
245,bulan_246,54832.5316047,29.800288915597825
246,bulan_247,54143.21230883,29.425658863494565
247,bulan_248,55551.39991585,30.19097821513587
248,bulan_249,56452.58739089999,30.680754016793475
249,bulan_250,57333.97073949,31.159766706244568
250,bulan_251,55282.90365411001,30.04505633375544
251,bulan_252,53818.63757535,29.249259551820654
252,bulan_253,54701.00025171,29.728804484625
253,bulan_254,54505.51832575,29.622564307472828
254,bulan_255,54958.598213109995,29.868803376690217
255,bulan_256,56882.545685050005,30.914427002744567
256,bulan_257,55437.44935018,30.129048559880435
257,bulan_258,54222.4262429,29.468709914619566
258,bulan_259,54069.83278251,29.38577868614674
259,bulan_260,55200.58036449,30.000315415483698
260,bulan_261,55936.76117525,30.400413682201087
261,bulan_262,58149.43091221,31.602951582722827
262,bulan_263,56135.69738404,30.508531186978264
263,bulan_264,53783.00515363,29.229894105233697
264,bulan_265,54773.11934659,29.76799964488587
265,bulan_266,55797.77463723,30.3248775202337
266,bulan_267,55532.97155181,30.180962799896736
267,bulan_268,55012.08039649,29.897869780701086
268,bulan_269,55234.47447006,30.018736125032607
269,bulan_270,54449.42003256,29.592076104652175
270,bulan_271,53780.90800482,29.22875435044565
271,bulan_272,55151.39448766,29.97358396068478
272,bulan_273,56643.44695462,30.784482040554348
273,bulan_274,56706.04289053,30.818501570940217
274,bulan_275,55250.38050673,30.027380710179347
275,bulan_276,52458.116935829996,28.509846160777172
276,bulan_277,53385.16876785,29.01367867817935
277,bulan_278,54881.38920222,29.826841957728263
278,bulan_279,54745.62619777,29.753057716179345
279,bulan_280,55404.87145429,30.111343181679345
280,bulan_281,54736.20144073,29.74793556561413
281,bulan_282,53964.93167302,29.328767213597825
282,bulan_283,53338.25158495,28.988180209211954
283,bulan_284,54971.8956032,29.876030219130435
284,bulan_285,55951.94591528,30.408666258304347
285,bulan_286,57925.54343032,31.481273603434783
286,bulan_287,57191.675829019994,31.082432515771735
287,bulan_288,56159.387405550005,30.52140619866848
288,bulan_289,55926.37257199,30.39476770216848
289,bulan_290,55220.566597180004,30.011177498467394
290,bulan_291,54511.60007478,29.625869605858696
291,bulan_292,55308.24794953,30.05883040735326
292,bulan_293,55513.0638961,30.17014342179348
293,bulan_294,54923.02361668,29.849469356891305
294,bulan_295,53895.86997215,29.291233680516306
295,bulan_296,54929.58050158,29.85303288129348
296,bulan_297,56548.8711834,30.733082164891304
297,bulan_298,57942.26060091,31.490359022233694
298,bulan_299,55970.23677627,30.418606943625
299,bulan_300,53869.255464819995,29.276769274358692
300,bulan_301,54776.067693900004,29.76960200755435
301,bulan_302,53038.04485314,28.825024376706523
302,bulan_303,54474.11636349,29.60549802363587
303,bulan_304,55607.43751928001,30.221433434391308
304,bulan_305,55945.69773303,30.40527050708152
305,bulan_306,54973.725988399994,29.87702499369565
306,bulan_307,54419.07197187,29.575582593407606
307,bulan_308,55304.02575294,30.056535735293476
308,bulan_309,57192.83033196,31.08305996302174
309,bulan_310,58203.925487450004,31.63256819970109
310,bulan_311,53987.128389410005,29.340830646418482
311,bulan_312,53412.48011607,29.02852180221196
312,bulan_313,53947.05206127,29.31905003329891
313,bulan_314,53891.702423149996,29.288968708233693
314,bulan_315,56267.312085989994,30.58006091629891
315,bulan_316,56630.13857058,30.777249223141304
316,bulan_317,55210.40419752,30.005654455173914
317,bulan_318,55042.07522962,29.914171320445654
318,bulan_319,55289.38635821,30.048579542505436
319,bulan_320,56241.18805687,30.56586307438587
320,bulan_321,57260.50265117,31.119838397375
321,bulan_322,58114.78357884,31.58412151023913
322,bulan_323,56700.198988100004,30.81532553701087
323,bulan_324,56090.85033039001,30.484157788255438
324,bulan_325,54656.75401301,29.704757615766304
325,bulan_326,56103.18725196,30.490862636934782
326,bulan_327,56528.990184769995,30.722277274331518
327,bulan_328,55906.14087301,30.38377221359239
328,bulan_329,54594.94124799,29.671163721733695
329,bulan_330,55604.79611015,30.219997885951084
330,bulan_331,54419.316505409995,29.57571549207065
331,bulan_332,55700.389560790005,30.271950848255436
332,bulan_333,55301.31879428,30.055064562108697
333,bulan_334,56011.40581325001,30.44098142024457
334,bulan_335,54866.33227524,29.818658845239128
335,bulan_336,52520.51067915,28.54375580388587
336,bulan_337,53383.55333339,29.01280072466848
337,bulan_338,54448.82188422,29.591751024032607
338,bulan_339,54605.94235601,29.67714258478804
339,bulan_340,54671.30360616,29.712665003347826
340,bulan_341,55088.27838316999,29.93928172998369
341,bulan_342,54427.70215416,29.580272909869564
342,bulan_343,54512.30869131,29.626254723538043
343,bulan_344,55491.55290997,30.158452668461955
344,bulan_345,56272.064661,30.582643837499997
345,bulan_346,57656.11973,31.334847679347824
346,bulan_347,55193.61208148,29.996528305152175
347,bulan_348,54530.66373443,29.63623029045109
348,bulan_349,53517.746169959995,29.085731614108692
349,bulan_350,55221.20927069,30.011526777548912
350,bulan_351,54544.08074944001,29.643522146434787
351,bulan_352,56722.504251449995,30.82744796274456
352,bulan_353,55527.2262189,30.1778403363587
353,bulan_354,54537.05985643,29.639706443711958
354,bulan_355,54448.57095707,29.59161465058152
355,bulan_356,55798.05281062,30.325028701423914
356,bulan_357,56819.656921379996,30.880248326836956
357,bulan_358,58523.42634966,31.806209972641305
358,bulan_359,56432.54637353,30.669862159527174
359,bulan_360,54525.33801846,29.633335879597826
360,bulan_361,54368.203225929996,29.547936535831518
361,bulan_362,55296.591406110005,30.052495329407613
362,bulan_363,55880.00506599,30.369567970646738
363,bulan_364,55500.44386658,30.163284710097823
364,bulan_365,54770.868627610005,29.766776428048917
365,bulan_366,54374.085090730005,29.551133201483697
366,bulan_367,53325.158018,28.98106414021739
367,bulan_368,55479.70897321,30.152015746309782
368,bulan_369,56282.25987039,30.588184712168477
369,bulan_370,58164.48044382,31.61113067598913
370,bulan_371,54742.391281300006,29.751299609402178
371,bulan_372,52839.66091363,28.717207018277175
372,bulan_373,52622.7382717,28.599314278097825
373,bulan_374,54154.96389942,29.432045597510868
374,bulan_375,55813.17033952,30.33324474973913
375,bulan_376,55843.71577487,30.34984552982065
376,bulan_377,56317.37615588,30.607269649934786
377,bulan_378,55984.70728872,30.426471352565216
378,bulan_379,54003.80250389,29.349892665157608
379,bulan_380,55800.18940751,30.32618989538587
380,bulan_381,56639.74375897,30.782469434222826
381,bulan_382,58476.063344890004,31.78046920917935
382,bulan_383,56877.49852368,30.911683980260868
383,bulan_384,54179.85730741,29.44557462359239
384,bulan_385,54553.76786994,29.648786885836955
385,bulan_386,55465.91165177,30.144517202048913
386,bulan_387,55238.372180909995,30.020854446146735
387,bulan_388,55322.686884049996,30.066677654375
388,bulan_389,56413.71963673,30.65963023735326
389,bulan_390,55402.243433179996,30.109914909336954
390,bulan_391,54462.20751945,29.599025825788043
391,bulan_392,55793.431775870005,30.32251726949457
392,bulan_393,56453.32359898,30.681154129880436
393,bulan_394,58512.56734288001,31.80030833852174
394,bulan_395,58089.562015389994,31.57041413879891
395,bulan_396,55908.31881539,30.384955877929347
396,bulan_397,56387.67133888,30.64547355373913
397,bulan_398,55404.567188069996,30.11117781960326
398,bulan_399,57035.61053855,30.997614423125
399,bulan_400,56402.652881810005,30.65361569663587
400,bulan_401,56442.31492057,30.675171152483696
401,bulan_402,56199.62995371,30.543277148755433
402,bulan_403,55049.8105909,29.918375321141305
403,bulan_404,56240.6064072,30.565546960434784
404,bulan_405,56647.585022080006,30.78673099026087
405,bulan_406,56401.56657804,30.653025314152174
406,bulan_407,54655.97226519,29.70433275282065
407,bulan_408,53373.65150266,29.007419294923913
