;bulan;data;rata2
152;01/09/1995;56676,21993;30,80229344
153;01/10/1995;57812,12008;31,41963048
154;01/11/1995;54333,72795;29,52919997
155;01/12/1995;53250,5146;28,94049706
156;01/01/1996;53722,22103;29,19685926
157;01/02/1996;54000,63191;29,34816952
158;01/03/1996;55277,08489;30,04189396
159;01/04/1996;56017,49178;30,44428901
160;01/05/1996;55728,49591;30,28722604
161;01/06/1996;55059,84515;29,92382888
162;01/07/1996;54765,98569;29,76412266
163;01/08/1996;56107,48715;30,49319954
164;01/09/1996;57073,34061;31,0181199
165;01/10/1996;57626,8135;31,31892038
166;01/11/1996;55257,53546;30,03126927
167;01/12/1996;53655,78667;29,16075362
168;01/01/1997;53395,27699;29,01917227
169;01/02/1997;53501,0169;29,07663962
170;01/03/1997;55717,44205;30,2812185
171;01/04/1997;55385,69748;30,10092254
172;01/05/1997;55477,21968;30,15066287
173;01/06/1997;54818,42179;29,79262054
174;01/07/1997;54405,16999;29,56802717
175;01/08/1997;55371,96907;30,09346145
176;01/09/1997;56534,61869;30,72533624
177;01/10/1997;58496,26425;31,79144796
178;01/11/1997;57974,99318;31,50814847
179;01/12/1997;55825,88748;30,34015624
180;01/01/1998;56381,08718;30,64189521
181;01/02/1998;56217,18051;30,55281549
182;01/03/1998;55872,46963;30,36547262
183;01/04/1998;56639,21841;30,78218392
184;01/05/1998;55831,03136;30,34295183
185;01/06/1998;55874,86038;30,36677194
186;01/07/1998;54641,15204;29,69627829
187;01/08/1998;56948,44353;30,95024105
188;01/09/1998;56558,1118;30,73810424
189;01/10/1998;56618,17228;30,77074581
190;01/11/1998;53557,74193;29,10746844
191;01/12/1998;53120,27375;28,86971399
192;01/01/1999;53104,65382;28,8612249
193;01/02/1999;54057,86847;29,37927634
194;01/03/1999;54175,36032;29,44313061
195;01/04/1999;54833,36078;29,80073956
196;01/05/1999;54627,11979;29,68865206
197;01/06/1999;54800,42361;29,78283892
198;01/07/1999;53511,69438;29,0824426
199;01/08/1999;55748,48307;30,29808863
200;01/09/1999;56848,65442;30,89600784
201;01/10/1999;56844,13997;30,89355433
202;01/11/1999;54035,18927;29,36695069
